instance, LP bound
1,0.9
2,1.1
3,2
4,2
5,1.6
6,1.4
7,1.4
8,1.7
9,2.9
10,1.9
11,1.9
12,2
13,1.9
14,2.8
15,2.9
16,2.2
17,3
18,2.7
19,0.9
20,0.9
21,1.8
22,3.76
23,2.76
24,2.64
25,3.52
26,2.44
27,2.72
28,3.52
29,3.16
30,4.12
31,3.24
32,2.4
33,3.64
34,4.68
35,4.96
36,3.64
37,3.84
38,5.04
39,2
40,3
41,4.22
42,4.62
43,5.34
44,4.26
45,4.02
46,5.8
47,6.82
48,7.36
49,7.96
50,7.3
51,7.58
52,6.12
53,8.84
54,9.6
55,9.82
56,9.86
57,10.38
58,13.72
59,4
60,5
61,12.29
62,11.42
63,12.7
64,14.27
65,16.83
66,12.03
67,14.37
68,15.63
69,16.15
70,20.48
71,16.47
72,18.79
73,17.9
74,17.34
75,23.01
76,19.75
77,22.36
78,19.76
79,7
80,9
81,22.16666667
82,25.75333333
83,29.35333333
84,29.82
85,22.63333333
86,24.39333333
87,24.88
88,23.62
89,26.24666667
90,24.74
91,47.18666667
92,48.03333333
93,48.56666667
94,49.02666667
95,47.48
96,47.58
97,48.63333333
98,49.85333333
99,20
100,30
