Instance, ILP solutions, Exceeded time limit? (Y/n)
1,1,n
2,2,n
3,2,n
4,3,n
5,2,n
6,2,n
7,2,n
8,2,n
9,4,n
10,2,n
11,2,n
12,2,n
13,2,n
14,3,n
15,4,n
16,3,n
17,3,n
18,3,n
19,1,n
20,1,n
21,2,n
22,5,n
23,4,n
24,3,n
25,4,n
26,3,n
27,3,n
28,5,n
29,4,n
30,5,n
31,4,n
32,3,n
33,4,n
34,6,n
35,6,n
36,4,n
37,4,n
38,6,n
39,2,n
40,3,n
41,5,n
42,6,n
43,6,n
44,5,n
45,5,n
46,7,n
47,8,n
48,8,n
49,9,n
50,8,n
51,8,n
52,7,n
53,10,n
54,10,n
55,11,n
56,11,n
57,13,n
58,16,n
59,4,n
60,5,n
61,14,n
62,12,n
63,14,n
64,16,n
65,20,n
66,13,n
67,15,n
68,18,n
69,17,n
70,24,n
71,18,n
72,22,n
73,19,n
74,19,n
75,26,n
76,22,n
77,26,n
78,21,Y
79,7,n
80,9,n
81,23,n
82,29,n
83,33,n
84,34,n
85,24,n
86,26,n
87,27,n
88,25,n
89,29,n
90,26,Y
91,48,n
92,49,n
93,49,n
94,50,n
95,48,n
96,48,n
97,49,n
98,51,Y
99,20,n
100,30,n
